Category,Museum,Question,Difficulty,Points,Status,Option1,Option2,Option3,Option4,CorrectAnswer,Explanation
Wildlife,Natural History Museum,Which animal is called the King of the Jungle?,Easy,10,Active,Lion,Tiger,Elephant,Leopard,Lion,The lion symbolizes strength.
Wildlife,Natural History Museum,Which bird cannot fly?,Easy,10,Active,Ostrich,Eagle,Sparrow,Crow,Ostrich,Ostriches are flightless birds.
Wildlife,Natural History Museum,Which is the largest land animal?,Easy,10,Active,Elephant,Rhino,Horse,Giraffe,Elephant,Elephants are the largest land mammals.
Wildlife,Natural History Museum,Which animal has black and white stripes?,Easy,10,Active,Zebra,Tiger,Panda,Cow,Zebra,Zebras have distinctive striped coats.
Wildlife,Natural History Museum,Which animal is the fastest on land?,Medium,15,Active,Cheetah,Lion,Tiger,Horse,Cheetah,Cheetahs can run over 100 km/h.
Indian Culture,No Museum Link,Which is India's national animal?,Easy,10,Active,Tiger,Lion,Elephant,Peacock,Tiger,The Bengal Tiger is India's national animal.
Indian Culture,No Museum Link,India's national bird is?,Easy,10,Active,Peacock,Eagle,Parrot,Crow,Peacock,The Indian Peacock is the national bird.
Indian Culture,No Museum Link,Which festival is known as the Festival of Lights?,Easy,10,Active,Diwali,Holi,Eid,Christmas,Diwali,Diwali celebrates the victory of light over darkness.
Indian Culture,No Museum Link,The Taj Mahal is located in?,Easy,10,Active,Agra,Delhi,Jaipur,Mumbai,Agra,It was built by Shah Jahan.
Indian Culture,No Museum Link,India's national flag has how many colors?,Easy,10,Active,Three,Two,Four,Five,Three,Saffron, White, and Green.
General Knowledge,No Museum Link,Which continent is India in?,Easy,10,Active,Asia,Africa,Europe,Australia,Asia,India is located in Asia.
General Knowledge,No Museum Link,How many days are there in a leap year?,Easy,10,Active,366,365,364,367,366,Leap years occur every four years.
General Knowledge,No Museum Link,Which is the largest ocean?,Medium,15,Active,Pacific Ocean,Indian Ocean,Atlantic Ocean,Arctic Ocean,Pacific Ocean,The Pacific Ocean covers the largest area.
General Knowledge,No Museum Link,Which is the tallest mountain in the world?,Medium,15,Active,Mount Everest,K2,Kangchenjunga,Nanda Devi,Mount Everest,Mount Everest is about 8,849 meters high.
General Knowledge,No Museum Link,Which gas do humans breathe in?,Easy,10,Active,Oxygen,Carbon Dioxide,Hydrogen,Nitrogen,Oxygen,Oxygen is essential for human life.
Museum Fun Facts,Indian Museum,Why should we not touch museum artifacts?,Easy,10,Active,They can be damaged,They are heavy,They are dirty,They are expensive,They can be damaged,Touching artifacts can damage them.
Museum Fun Facts,Indian Museum,Museum guides help visitors by?,Easy,10,Active,Explaining exhibits,Selling food,Driving buses,Cleaning floors,Explaining exhibits,Guides provide educational information.
Museum Fun Facts,Indian Museum,Fossils are remains of?,Easy,10,Active,Ancient plants and animals,Modern animals,Buildings,Computers,Ancient plants and animals,Fossils help scientists study prehistoric life.
Museum Fun Facts,Indian Museum,What should visitors do inside museums?,Easy,10,Active,Respect exhibits,Run loudly,Touch everything,Eat near exhibits,Respect exhibits,Good behavior protects museum collections.
Museum Fun Facts,Indian Museum,Why are museums important for children?,Easy,10,Active,They make learning fun,They replace schools,They sell toys,They teach driving,They make learning fun,Museums encourage curiosity through interactive learning.
