museum_id,museum_name,museum_location,state,category,price
mahant_ghasidas_memorial_museum,Mahant Ghasidas Memorial Museum,Raipur,Chhattisgarh,Archaeology/Anthropology,200
purkhouti_muktangan,Purkhouti Muktangan,Raipur,Chhattisgarh,Open-air Museum,200
national_museum,National Museum,New Delhi,Delhi,History/Art,200
national_rail_museum,National Rail Museum,New Delhi,Delhi,Transport/Rail,200
shankar_s_international_dolls_museum,Shankar's International Dolls Museum,New Delhi,Delhi,Dolls,200
national_science_centre,National Science Centre,New Delhi,Delhi,Science,200
nehru_memorial_museum_library,Nehru Memorial Museum & Library,New Delhi,Delhi,Biography/History,200
indian_air_force_museum,Indian Air Force Museum,Palam,Delhi,Military/Aviation,200
national_handicrafts_and_handlooms_museum,National Handicrafts and Handlooms Museum,New Delhi,Delhi,Crafts/Textile,200
gandhi_smriti,Gandhi Smriti,New Delhi,Delhi,Biography,200
national_museum_of_natural_history,National Museum of Natural History,New Delhi,Delhi,Natural History,200
national_philatelic_museum,National Philatelic Museum,New Delhi,Delhi,Stamps,200
sulabh_international_museum_of_toilets,Sulabh International Museum of Toilets,New Delhi,Delhi,Sanitation/History,200
national_gallery_of_modern_art,National Gallery of Modern Art,New Delhi,Delhi,Modern Art,200
red_fort_archaeological_museum,Red Fort Archaeological Museum,New Delhi,Delhi,Archaeology/Mughal,200
goa_state_museum,Goa State Museum,Panaji,Goa,History/Archaeology,200
naval_aviation_museum,Naval Aviation Museum,Vasco da Gama,Goa,Military/Aviation,200
goa_chitra_museum,Goa Chitra Museum,Benaulim,Goa,Ethnography,200
houses_of_goa_museum,Houses of Goa Museum,Porvorim,Goa,Architecture,200
big_foot_ancestral_goa,Big Foot (Ancestral Goa),Loutolim,Goa,Open-air/Culture,200
calico_museum_of_textiles,Calico Museum of Textiles,Ahmedabad,Gujarat,Textiles,200
baroda_museum_picture_gallery,Baroda Museum & Picture Gallery,Vadodara,Gujarat,Art,200
watson_museum,Watson Museum,Rajkot,Gujarat,History,200
kutch_museum,Kutch Museum,Bhuj,Gujarat,History,200
lothal_archaeological_museum,Lothal Archaeological Museum,Lothal,Gujarat,Archaeology,200
sardar_vallabhbhai_patel_national_memorial,Sardar Vallabhbhai Patel National Memorial,Ahmedabad,Gujarat,Biography,200
kite_museum,Kite Museum,Ahmedabad,Gujarat,Kites,200
auto_world_vintage_car_museum,Auto World Vintage Car Museum,Ahmedabad,Gujarat,Automobile,200
maharaja_fateh_singh_museum,Maharaja Fateh Singh Museum,Vadodara,Gujarat,Royal/Art,200
gujarat_science_city,Gujarat Science City,Ahmedabad,Gujarat,Science,200
heritage_transport_museum,Heritage Transport Museum,Taoru (Gurugram),Haryana,Transport,200
dharohar_museum,Dharohar Museum,Kurukshetra,Haryana,Heritage/Folklore,200
rewari_railway_heritage_museum,Rewari Railway Heritage Museum,Rewari,Haryana,Rail,200
panipat_battle_field_memorial,Panipat Battle Field Memorial,Panipat,Haryana,History,200
himachal_state_museum,Himachal State Museum,Shimla,Himachal Pradesh,Multi-purpose,200
library_of_tibetan_works_and_archives,Library of Tibetan Works and Archives,Dharamshala,Himachal Pradesh,Manuscripts/History,200
bhuri_singh_museum,Bhuri Singh Museum,Chamba,Himachal Pradesh,Art/History,200
war_museum,War Museum,Dharamshala,Himachal Pradesh,Military,200
dogra_art_museum,Dogra Art Museum,Jammu,Jammu and Kashmir,Art,200
sps_museum,SPS Museum,Srinagar,Jammu and Kashmir,Archaeology,200
amar_mahal_museum,Amar Mahal Museum,Jammu,Jammu and Kashmir,Royal/Art,200
hall_of_fame,Hall of Fame,Leh (Ladakh),Jammu and Kashmir,Military,200
ranchi_science_centre,Ranchi Science Centre,Ranchi,Jharkhand,Science,200
state_museum_hotwar,State Museum Hotwar,Ranchi,Jharkhand,Ethnography/History,200
tribal_research_institute_museum,Tribal Research Institute Museum,Ranchi,Jharkhand,Tribal Culture,200
government_museum,Government Museum,Bengaluru,Karnataka,Archaeology,200
visvesvaraya_industrial_and_technological_museum,Visvesvaraya Industrial and Technological Museum,Bengaluru,Karnataka,Science,200
hal_heritage_centre_and_aerospace_museum,HAL Heritage Centre and Aerospace Museum,Bengaluru,Karnataka,Aviation,200
mysore_rail_museum,Mysore Rail Museum,Mysuru,Karnataka,Rail,200
jaganmohan_palace_jayachamarajendra_art_gallery,Jaganmohan Palace (Jayachamarajendra Art Gallery),Mysuru,Karnataka,Art,200
folkloore_museum,Folkloore Museum,Mysuru,Karnataka,Folklore,200
nimhans_brain_museum,NIMHANS Brain Museum,Bengaluru,Karnataka,Medical/Science,200
sand_sculpture_museum,Sand Sculpture Museum,Mysuru,Karnataka,Art,200
manjusha_museum,Manjusha Museum,Dharmasthala,Karnataka,Heritage/Cars,200
napier_museum,Napier Museum,Thiruvananthapuram,Kerala,Art/History,200
hill_palace_museum,Hill Palace Museum,Kochi,Kerala,Royal/Archaeology,200
kerala_folklore_museum,Kerala Folklore Museum,Kochi,Kerala,Cultural,200
teak_museum,Teak Museum,Nilambur,Kerala,Natural History,200
arakkal_museum,Arakkal Museum,Kannur,Kerala,Royal/History,200
vaidyaratnam_ayurveda_museum,Vaidyaratnam Ayurveda Museum,Thrissur,Kerala,Medical/Ayurveda,200
kuthiramalika_palace_museum,Kuthiramalika Palace Museum,Thiruvananthapuram,Kerala,Royal/Architecture,200
kdhp_tea_museum,KDHP Tea Museum,Munnar,Kerala,Industrial/Tea,200
bharat_bhavan,Bharat Bhavan,Bhopal,Madhya Pradesh,Multi-arts,200
state_museum,State Museum,Bhopal,Madhya Pradesh,Archaeology,200
indira_gandhi_rashtriya_manav_sangrahalaya,Indira Gandhi Rashtriya Manav Sangrahalaya,Bhopal,Madhya Pradesh,Anthropology (National),200
sanchi_archaeological_museum,Sanchi Archaeological Museum,Sanchi,Madhya Pradesh,Archaeology,200
archaeological_museum_khajuraho,Archaeological Museum Khajuraho,Khajuraho,Madhya Pradesh,Archaeology,200
jai_vilas_palace_museum,Jai Vilas Palace Museum,Gwalior,Madhya Pradesh,Royal,200
rani_durgavati_museum,Rani Durgavati Museum,Jabalpur,Madhya Pradesh,History,200
chhatrapati_shivaji_maharaj_vastu_sangrahalaya_csmvs,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya (CSMVS),Mumbai,Maharashtra,History/Art,200
dr_bhau_daji_lad_museum,Dr. Bhau Daji Lad Museum,Mumbai,Maharashtra,City History,200
raja_dinkar_kelkar_museum,Raja Dinkar Kelkar Museum,Pune,Maharashtra,Private Collection,200
mani_bhavan_gandhi_sangrahalaya,Mani Bhavan Gandhi Sangrahalaya,Mumbai,Maharashtra,Biography,200
coin_museum,Coin Museum,Nashik,Maharashtra,Numismatics,200
national_maritime_museum,National Maritime Museum,Mumbai,Maharashtra,Maritime,200
cavalry_tank_museum,Cavalry Tank Museum,Ahmednagar,Maharashtra,Military,200
rbi_monetary_museum,RBI Monetary Museum,Mumbai,Maharashtra,Currency/Finance,200
joshi_s_museum_of_miniature_railway,Joshi's Museum of Miniature Railway,Pune,Maharashtra,Miniatures,200
nehru_science_centre,Nehru Science Centre,Mumbai,Maharashtra,Science,200
tribal_cultural_museum,Tribal Cultural Museum,Pune,Maharashtra,Tribal Culture,200
manipur_state_museum,Manipur State Museum,Imphal,Manipur,Multi-purpose,200
ina_war_museum,INA War Museum,Moirang,Manipur,Military/Freedom Struggle,200
don_bosco_centre_for_indigenous_cultures,Don Bosco Centre for Indigenous Cultures,Shillong,Meghalaya,Anthropology,200
wankhar_entomology_museum,Wankhar Entomology Museum,Shillong,Meghalaya,Natural History (Insects),200
air_force_museum,Air Force Museum,Shillong,Meghalaya,Aviation,200
mizoram_state_museum,Mizoram State Museum,Aizawl,Mizoram,Ethnography,200
kohima_state_museum,Kohima State Museum,Kohima,Nagaland,Ethnography,200
world_war_ii_museum,World War II Museum,Kisama,Nagaland,Military/History,200
odisha_state_museum,Odisha State Museum,Bhubaneswar,Odisha,History/Art,200
konark_sun_temple_museum,Konark Sun Temple Museum,Konark,Odisha,Archaeology,200
odisha_maritime_museum,Odisha Maritime Museum,Cuttack,Odisha,Maritime,200
museum_of_tribal_arts_and_artifacts,Museum of Tribal Arts and Artifacts,Bhubaneswar,Odisha,Tribal Culture,200
regional_science_centre,Regional Science Centre,Bhubaneswar,Odisha,Science,200
puducherry_museum,Puducherry Museum,Puducherry,Puducherry,History/Colonial,200
partition_museum,Partition Museum,Amritsar,Punjab,History,200
virasat_e_khalsa,Virasat-e-Khalsa,Anandpur Sahib,Punjab,Sikh History,200
sheesh_mahal_museum,Sheesh Mahal Museum,Patiala,Punjab,Royal/Art,200
maharaja_ranjit_singh_museum,Maharaja Ranjit Singh Museum,Amritsar,Punjab,History,200
pushpa_gujral_science_city,Pushpa Gujral Science City,Kapurthala,Punjab,Science,200
albert_hall_museum,Albert Hall Museum,Jaipur,Rajasthan,State Museum,200
city_palace_museum,City Palace Museum,Jaipur,Rajasthan,Royal/Textile/Arms,200
city_palace_museum,City Palace Museum,Udaipur,Rajasthan,Royal,200
bagore_ki_haveli,Bagore Ki Haveli,Udaipur,Rajasthan,Cultural,200
mehrangarh_museum,Mehrangarh Museum,Jodhpur,Rajasthan,Fort/History,200
anokhi_museum_of_hand_printing,Anokhi Museum of Hand Printing,Jaipur,Rajasthan,Textiles,200
jaisalmer_war_museum,Jaisalmer War Museum,Jaisalmer,Rajasthan,Military,200
umaid_bhawan_palace_museum,Umaid Bhawan Palace Museum,Jodhpur,Rajasthan,Royal,200
maharao_madho_singh_museum,Maharao Madho Singh Museum,Kota,Rajasthan,Royal,200
namgyal_institute_of_tibetology,Namgyal Institute of Tibetology,Gangtok,Sikkim,Religious/History,200
directorate_of_handicrafts_and_handloom,Directorate of Handicrafts and Handloom,Gangtok,Sikkim,Crafts,200
government_museum_egmore_museum,Government Museum (Egmore Museum),Chennai,Tamil Nadu,Archaeology/Bronzes,200
gandhi_memorial_museum,Gandhi Memorial Museum,Madurai,Tamil Nadu,Biography,200
dakshinachitra,DakshinaChitra,Chennai,Tamil Nadu,Heritage/Living History,200
fort_st_george_museum,Fort St. George Museum,Chennai,Tamil Nadu,Colonial History,200
gass_forest_museum,Gass Forest Museum,Coimbatore,Tamil Nadu,Natural History,200
chennai_rail_museum,Chennai Rail Museum,Chennai,Tamil Nadu,Rail,200
vivekananda_rock_memorial_museum,Vivekananda Rock Memorial & Museum,Kanyakumari,Tamil Nadu,Biography/Spiritual,200
click_art_museum,Click Art Museum,Chennai,Tamil Nadu,Interactive Art,200
salar_jung_museum,Salar Jung Museum,Hyderabad,Telangana,Art/Antiques (National Importance),200
birla_science_museum,Birla Science Museum,Hyderabad,Telangana,Science/Archaeology,200
telangana_state_archaeology_museum,Telangana State Archaeology Museum,Hyderabad,Telangana,Archaeology,200
chowmahalla_palace,Chowmahalla Palace,Hyderabad,Telangana,Royal,200
nizam_s_museum,Nizam's Museum,Hyderabad,Telangana,Royal/Jewelry,200
tripura_government_museum,Tripura Government Museum,Agartala,Tripura,History/Culture,200
state_museum,State Museum,Lucknow,Uttar Pradesh,Multi-purpose,200
sarnath_museum,Sarnath Museum,Varanasi,Uttar Pradesh,Archaeology/Buddhist,200
allahabad_museum,Allahabad Museum,Prayagraj,Uttar Pradesh,History/Art,200
taj_museum,Taj Museum,Agra,Uttar Pradesh,History/Mughal,200
bharat_kala_bhavan,Bharat Kala Bhavan,Varanasi,Uttar Pradesh,Art/Textiles,200
government_museum,Government Museum,Mathura,Uttar Pradesh,Archaeology/Sculpture,200
rashtriya_dalit_prerna_sthal_and_green_garden,Rashtriya Dalit Prerna Sthal and Green Garden,Noida,Uttar Pradesh,Memorial/Museum,200
forest_research_institute_fri_museum,Forest Research Institute (FRI) Museum,Dehradun,Uttarakhand,Forestry,200
wadia_institute_of_himalayan_geology,Wadia Institute of Himalayan Geology,Dehradun,Uttarakhand,Geology,200
corbett_museum,Corbett Museum,Kaladhungi,Uttarakhand,Biography/Wildlife,200
indian_museum,Indian Museum,Kolkata,West Bengal,Multi-purpose (Oldest in India),200
victoria_memorial_hall,Victoria Memorial Hall,Kolkata,West Bengal,History/Art,200
birla_industrial_technological_museum,Birla Industrial & Technological Museum,Kolkata,West Bengal,Science,200
science_city,Science City,Kolkata,West Bengal,Science,200
gurusaday_museum,Gurusaday Museum,Kolkata,West Bengal,Folk Art,200
jorasanko_thakur_bari,Jorasanko Thakur Bari,Kolkata,West Bengal,Biography (Tagore),200
netaji_bhawan,Netaji Bhawan,Kolkata,West Bengal,Biography/Freedom Struggle,200
kolkata_police_museum,Kolkata Police Museum,Kolkata,West Bengal,Police History,200
rail_museum,Rail Museum,Howrah,West Bengal,Rail,200
mother_s_wax_museum,Mother's Wax Museum,Kolkata,West Bengal,Wax,200
